BSE,27 July 2011,SUZLON ENERGY L,BUY,50,51.66,-2583
BSE,27 July 2011,ORIENT GREEN PO,BUY,400,15.48,-6192
BSE,27 July 2011,MOSER BAER (IND,BUY,15,38.54,-578.1
BSE,19 December 2011,TORRENT POWER L,BUY,2,187.88,-375.76
BSE,19 December 2011,TATA POWER COMP,BUY,65,86.08,-5595.2
BSE,23 December 2011,SBI MUTUAL FUND,BUY,3,2724.56,-8173.68
BSE,23 December 2011,I T C LIMITED,BUY,8,203.66,-1629.28
BSE,23 December 2011,DABUR INDIA LTD,BUY,50,101,-5050
BSE,23 May 2012,PIRAMAL ENTERPR,BUY,20,419.03,-8380.6
BSE,23 May 2012,CADILA HEALTHCA,BUY,9,743.7,-6693.3
BSE,15 April 2013,TATA COMMUNICAT,BUY,25,226.13,-5653.25
BSE,15 April 2013,SIEMENS LIMITED,BUY,1,482.4,-482.4
BSE,15 April 2013,DR REDDYS LABOR,BUY,2,1902.47,-3804.94
BSE,09 February 2015,STRIDES SHASUN,BUY,20,849.23,-16984.6
BSE,09 February 2015,SPICEJET LTD,BUY,100,20.1,-2010
BSE,03 February 2015,TATA CONSULTANC,BUY,6,2673.3,-16039.8
BSE,03 February 2015,SUN PHARMACEUTI,BUY,10,923.6,-9236
BSE,03 February 2015,LARSEN AND TOUB,BUY,6,1819.05,-10914.3
BSE,03 February 2015,H C L TECHNOLOG,BUY,6,2029.6,-12177.6
BSE,23 March 2015,PROCTOR GAMB,BUY,2,7296.3,-14592.6
BSE,23 March 2015,EMAMI  LIMIT,BUY,5,984.9,-4924.5
BSE,31 March 2015,T V S MOTOR COM,BUY,34,267.33,-9089.22
BSE,31 March 2015,HINDUSTAN UNILE,BUY,7,883.4,-6183.8
BSE,31 March 2015,GODREJ CONSUMER,BUY,15,1065.3,-15979.5
BSE,31 March 2015,COLGATE PALMOLI,BUY,3,2030.1,-6090.3
BSE,31 March 2015,ASHOK LEYLAND L,BUY,24,74.87,-1796.88
BSE,08 May 2015,H D F C LIMITED,BUY,7,1180.88,-8266.16
BSE,08 May 2015,H D F C BANK LI,BUY,10,966.81,-9668.1
BSE,08 May 2015,UNION BANK OF I,BUY,15,135.68,-2035.2
BSE,07 July 2015,TORRENT POWER L,SELL,-2,142.28,284.56
BSE,03 September 2015,UNION BANK OF I,BUY,50,163.82,-8191
BSE,03 September 2015,T V S MOTOR COM,BUY,40,221.05,-8842
BSE,03 September 2015,BHARTI AIRTEL,BUY,8,348.74,-2789.92
BSE,07 September 2015,PIRAMAL ENTERPR,BUY,18,868.32,-15629.76
BSE,28 September 2015,ASHOK LEYLAND L,BUY,112,92.76,-10389.12
BSE,20 November 2015,SPICEJET LTD,SELL,-100,62.68,6268
BSE,03 December 2015,PIRAMAL ENTERPR,SELL,-18,965.15,17372.7
BSE,03 December 2015,SIEMENS LIMITED,SELL,-1,1201.96,1201.96
BSE,03 December 2015,NESTLE INDIA,BUY,1,5869.2,-5869.2
BSE,03 December 2015,NESTLE INDIA,BUY,1,5869.2,-5869.2
BSE,03 December 2015,I T C LIMITED,SELL,-8,343.27,2746.16
BSE,03 December 2015,SPICEJET LTD,BUY,248,71.05,-17620.4
BSE,03 December 2015,SPICEJET LTD,BUY,25,71.86,-1796.5
BSE,03 December 2015,SPICEJET LTD,BUY,18,72.36,-1302.48
BSE,03 December 2015,SPICEJET LTD,BUY,36,72.66,-2615.76
BSE,03 December 2015,CADILA HEALTHCA,SELL,-20,399.99,7999.8
BSE,03 December 2015,UNION BANK OF I,SELL,-35,170.14,5954.9
BSE,15 February 2016,UNION BANK OF I,BUY,160,116.88,-18700.8
BSE,15 February 2016,SPICEJET LTD,BUY,380,71.36,-27116.8
BSE,24 February 2016,DR REDDYS LABOR,BUY,2,3055.2,-6110.4
BSE,24 February 2016,DR REDDYS LABOR,BUY,1,3054.2,-3054.2
BSE,24 February 2016,BHARTI AIRTEL,SELL,-8,319.39,2555.12
BSE,15 March 2016,GODREJ CONSUMER,SELL,-5,1261.66,6308.3
BSE,15 March 2016,UNION BANK OF I,SELL,-30,126.46,3793.8
BSE,15 March 2016,DABUR INDIA LTD,SELL,-25,246.76,6169
BSE,15 March 2016,EMAMI  LIMIT,SELL,-1,952.31,952.31
BSE,28 March 2016,MARUTI SUZUKI I,BUY,6,3723.53,-22341.18
BSE,28 March 2016,MARUTI SUZUKI I,BUY,2,3718.5,-7437
BSE,28 March 2016,ASHOK LEYLAND L,SELL,-6,106.46,638.76
BSE,28 March 2016,T V S MOTOR COM,SELL,-24,316.41,7593.84
BSE,08 April 2016,TATA COMMUNICAT,SELL,-15,383.07,5746.05
BSE,08 April 2016,PIRAMAL ENTERPR,BUY,1,1094.45,-1094.45
BSE,08 April 2016,PIRAMAL ENTERPR,BUY,10,1095.45,-10954.5
BSE,08 April 2016,PIRAMAL ENTERPR,BUY,10,1095.5,-10955
BSE,08 April 2016,NESTLE INDIA,BUY,2,5939.55,-11879.1
BSE,12 April 2016,PIRAMAL ENTERPR,BUY,5,1070.33,-5351.65
BSE,18 April 2016,TATA COMMUNICAT,SELL,-10,398.5,3985
BSE,18 April 2016,SPICEJET LTD,BUY,1,72.76,-72.76
BSE,18 April 2016,SPICEJET LTD,BUY,136,73.26,-9963.36
BSE,18 April 2016,SPICEJET LTD,BUY,8,73.06,-584.48
BSE,18 April 2016,SBI,BUY,50,189.54,-9477
BSE,18 April 2016,SBI,BUY,20,188.64,-3772.8
BSE,18 April 2016,ASHOK LEYLAND L,BUY,1,109.7,-109.7
BSE,18 April 2016,ASHOK LEYLAND L,BUY,1,109.7,-109.7
BSE,18 April 2016,ASHOK LEYLAND L,BUY,1,109.65,-109.65
BSE,18 April 2016,ASHOK LEYLAND L,BUY,3,109.8,-329.4
BSE,20 April 2016,SPICEJET LTD,BUY,1,71.51,-71.51
BSE,20 April 2016,SPICEJET LTD,BUY,140,71.46,-10004.4
BSE,20 April 2016,SPICEJET LTD,BUY,125,72.06,-9007.5
BSE,20 April 2016,ASHOK LEYLAND L,BUY,100,108.54,-10854
BSE,25 April 2016,PROCTOR GAMB,SELL,-2,6371.98,12743.96
NSE,25 April 2016,CANARA BANK,BUY,1,205.82,-205.82
NSE,25 April 2016,CANARA BANK,BUY,60,205.62,-12337.2
NSE,25 April 2016,CANARA BANK,BUY,2,205.47,-410.94
NSE,25 April 2016,CANARA BANK,BUY,45,212.06,-9542.7
BSE,27 April 2016,H D F C LIMITED,SELL,-7,1114.4,7800.8
BSE,27 April 2016,EMAMI  LIMIT,SELL,-4,996.99,3987.96
BSE,27 April 2016,DABUR INDIA LTD,SELL,-25,267.65,6691.25
NSE,27 April 2016,CANARA BANK,BUY,31,214.07,-6636.17
NSE,27 April 2016,CANARA BANK,BUY,55,213.06,-11718.3
BSE,29 April 2016,T V S MOTOR COM,BUY,40,322.3,-12892
BSE,29 April 2016,SPICEJET LTD,BUY,200,76.78,-15356
BSE,29 April 2016,SBI,BUY,1,194.17,-194.17
BSE,29 April 2016,PIRAMAL ENTERPR,BUY,4,1165.8,-4663.2
BSE,29 April 2016,COLGATE PALMOLI,SELL,-6,835.8,5014.8
BSE,29 April 2016,ASHOK LEYLAND L,BUY,15,106.83,-1602.45
BSE,03 May 2016,HINDUSTAN UNILE,SELL,-6,863.16,5178.96
BSE,03 May 2016,CADILA HEALTHCA,BUY,15,326.63,-4899.45
BSE,03 May 2016,CADILA HEALTHCA,BUY,60,327.63,-19657.8
BSE,04 May 2016,T V S MOTOR COM,BUY,28,291.25,-8155
BSE,04 May 2016,LARSEN AND TOUB,SELL,-6,1243.75,7462.5
BSE,04 May 2016,HINDUSTAN UNILE,SELL,-1,845.35,845.35
BSE,05 May 2016,UNION BANK OF I,BUY,85,117.08,-9951.8
BSE,05 May 2016,UNION BANK OF I,BUY,101,117.99,-11916.99
BSE,05 May 2016,SBI,SELL,-71,179.8,12765.8
BSE,09 May 2016,H C L TECHNOLOG,SELL,-12,724.36,8692.32
BSE,09 May 2016,ASHOK LEYLAND L,BUY,87,105.32,-9162.84
NSE,09 May 2016,CANARA BANK,BUY,51,189.95,-9687.45
BSE,16 May 2016,UNION BANK OF I,BUY,360,110.95,-39942
BSE,16 May 2016,ASHOK LEYLAND L,BUY,96,103.11,-9898.56
BSE,18 May 2016,SPICEJET LTD,SELL,-100,82.83,8283
BSE,19 May 2016,GODREJ CONSUMER,SELL,-10,1379.07,13790.7
BSE,19 May 2016,ASHOK LEYLAND L,BUY,132,103.01,-13597.32
BSE,23 May 2016,SBI,BUY,231,171.86,-39699.66
NSE,24 May 2016,PIRAMAL ENTERPR,BUY,1,1447.2,-1447.2
NSE,24 May 2016,PIRAMAL ENTERPR,BUY,15,1458.26,-21873.9
NSE,24 May 2016,NESTLE INDIA,SELL,-4,6029.7,24118.8
BSE,25 May 2016,UNION BANK OF I,SELL,-200,108.16,21632
NSE,25 May 2016,PIRAMAL ENTERPR,BUY,13,1437.15,-18682.95
NSE,26 May 2016,PIRAMAL ENTERPR,BUY,8,1358.76,-10870.08
BSE,30 May 2016,UNION BANK OF I,SELL,-50,116.96,5848
BSE,30 May 2016,SPICEJET LTD,BUY,24,67.84,-1628.16
BSE,30 May 2016,SPICEJET LTD,BUY,24,68.34,-1640.16
BSE,30 May 2016,SPICEJET LTD,BUY,76,67.89,-5159.64
NSE,06 June 2016,UNION BANK OF I,SELL,-100,114.38,11438
BSE,07 June 2016,SPICEJET LTD,BUY,30,64.02,-1920.6
BSE,07 June 2016,SPICEJET LTD,BUY,120,64.02,-7682.4
BSE,08 June 2016,SPICEJET LTD,BUY,180,61.61,-11089.8
BSE,08 June 2016,SPICEJET LTD,BUY,180,61.71,-11107.8
BSE,08 June 2016,SBI,SELL,-50,207.56,10378
NSE,08 June 2016,UNION BANK OF I,SELL,-96,117.41,11271.36
BSE,24 June 2016,SBI,BUY,40,206.03,-8241.2
BSE,24 June 2016,SBI,BUY,94,212.06,-19933.64
NSE,24 June 2016,SBI MUTUAL FUND,SELL,-2,2815.85,5631.7
NSE,24 June 2016,SBI MUTUAL FUND,SELL,-1,2808.88,2808.88
BSE,11 July 2016,STRIDES SHASUN,BUY,24,1183.89,-28413.36
BSE,18 July 2016,ASHOK LEYLAND L,BUY,105,93.97,-9866.85
BSE,20 July 2016,PIRAMAL ENTERPR,SELL,-4,1644.83,6579.32
BSE,20 July 2016,PIRAMAL ENTERPR,SELL,-4,1641.75,6567
BSE,20 July 2016,PIRAMAL ENTERPR,SELL,-6,1637.77,9826.62
BSE,21 July 2016,SUN PHARMACEUTI,BUY,4,800.99,-3203.96
BSE,21 July 2016,SUN PHARMACEUTI,BUY,24,803.8,-19291.2
BSE,22 July 2016,DR REDDYS LABOR,SELL,-5,3586.78,17933.9
NSE,22 July 2016,SUN PHARMACEUTI,BUY,22,788.93,-17356.46
BSE,29 July 2016,SPICEJET LTD,SELL,-76,68.65,5217.4
BSE,29 July 2016,ASHOK LEYLAND L,SELL,-40,94.67,3786.8
NSE,29 July 2016,CADILA HEALTHCA,SELL,-10,366.16,3661.6
BSE,01 August 2016,MARUTI SUZUKI I,SELL,-1,4850.62,4850.62
BSE,01 August 2016,MARUTI SUZUKI I,SELL,-1,4841.37,4841.37
BSE,01 August 2016,H D F C BANK LI,SELL,-6,1251.71,7510.26
BSE,02 August 2016,ASHOK LEYLAND L,BUY,321,89.85,-28841.85
BSE,03 August 2016,MARUTI SUZUKI I,SELL,-1,4948.58,4948.58
NSE,03 August 2016,H D F C BANK LI,SELL,-4,1228.13,4912.52
NSE,03 August 2016,ASHOK LEYLAND L,BUY,110,87.18,-9589.8
NSE,04 August 2016,CADILA HEALTHCA,SELL,-40,363.62,14544.8
NSE,04 August 2016,CADILA HEALTHCA,SELL,-50,361.33,18066.5
NSE,04 August 2016,ASHOK LEYLAND L,BUY,160,86.98,-13916.8
NSE,04 August 2016,ASHOK LEYLAND L,BUY,210,86.68,-18202.8
BSE,12 August 2016,SPICEJET LTD,BUY,3,59.24,-177.72
BSE,12 August 2016,SPICEJET LTD,BUY,150,59.4,-8910
BSE,12 August 2016,SBI,SELL,-40,242.88,9715.2
NSE,12 August 2016,ASHOK LEYLAND L,BUY,6,86.83,-520.98
BSE,17 August 2016,T V S MOTOR COM,SELL,-11,309.44,3403.84
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-4,1847.71,7390.84
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-11,1842.44,20266.84
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-2,1832.79,3665.58
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-4,1840.75,7363
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-10,1838.06,18380.6
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-10,1828.81,18288.1
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-6,1822.84,10937.04
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-4,1812.89,7251.56
BSE,17 August 2016,PIRAMAL ENTERPR,SELL,-4,1791.99,7167.96
NSE,17 August 2016,UNION BANK OF I,SELL,-22,132.33,2911.26
BSE,18 August 2016,PIRAMAL ENTERPR,SELL,-4,1900.45,7601.8
NSE,18 August 2016,STRIDES SHASUN,BUY,15,1025.1,-15376.5
NSE,18 August 2016,PIRAMAL ENTERPR,SELL,-4,1950.5,7802
NSE,18 August 2016,PIRAMAL ENTERPR,SELL,-4,1930.3,7721.2
NSE,18 August 2016,PIRAMAL ENTERPR,SELL,-4,1921.25,7685
BSE,19 August 2016,PIRAMAL ENTERPR,SELL,-2,2024.82,4049.64
NSE,24 August 2016,SUN PHARMACEUTI,BUY,1,774.96,-774.96
NSE,24 August 2016,SUN PHARMACEUTI,BUY,24,775.11,-18602.64
BSE,25 August 2016,SUZLON ENERGY L,BUY,31,16.43,-509.33
NSE,25 August 2016,UNION BANK OF I,BUY,110,136.68,-15034.8
BSE,26 August 2016,UNION BANK OF I,BUY,2,133.77,-267.54
BSE,26 August 2016,UNION BANK OF I,BUY,2,133.87,-267.74
BSE,26 August 2016,TATA CONSULTANC,SELL,-6,2544.21,15265.26
BSE,26 August 2016,SBI,SELL,-60,246.01,14760.6
BSE,26 August 2016,GODREJ CONSUMER,BUY,9,1527.6,-13748.4
NSE,26 August 2016,UNION BANK OF I,BUY,5,133.92,-669.6
NSE,26 August 2016,GODREJ CONSUMER,BUY,9,1527.6,-13748.4
NSE,29 August 2016,STRIDES SHASUN,BUY,2,934.8,-1869.6
NSE,29 August 2016,CANARA BANK,SELL,-40,269.15,10766
BSE,29 August 2016,MARUTI SUZUKI I,SELL,-5,4910.82,24554.1
BSE,29 August 2016,LUPIN LIMITED,BUY,33,1507.5,-49747.5
BSE,29 August 2016,DR REDDYS LABOR,BUY,11,3060.23,-33662.53
NSE,02 September 2016,ASHOK LEYLAND L,BUY,6,83.21,-499.26
BSE,09 September 2016,UNION BANK OF I,SELL,-4,149.65,598.6
BSE,09 September 2016,UNION BANK OF I,SELL,-20,149.65,2993
BSE,09 September 2016,SUZLON ENERGY L,BUY,170,18.04,-3066.8
BSE,09 September 2016,SUZLON ENERGY L,BUY,380,18.14,-6893.2
BSE,09 September 2016,SPICEJET LTD,SELL,-190,62.88,11947.2
BSE,09 September 2016,SPICEJET LTD,SELL,-500,61.29,30645
BSE,09 September 2016,SBI,SELL,-2,263.67,527.34
BSE,09 September 2016,SBI,SELL,-10,263.67,2636.7
BSE,09 September 2016,PIRAMAL ENTERPR,BUY,1,1892.82,-1892.82
NSE,09 September 2016,SUZLON ENERGY L,BUY,40,18.14,-725.6
NSE,09 September 2016,SUZLON ENERGY L,BUY,80,17.94,-1435.2
NSE,09 September 2016,SUZLON ENERGY L,BUY,140,17.99,-2518.6
NSE,09 September 2016,SBI,SELL,-4,264.37,1057.48
NSE,09 September 2016,PIRAMAL ENTERPR,BUY,6,1886.59,-11319.54
NSE,09 September 2016,PIRAMAL ENTERPR,BUY,2,1889.1,-3778.2
NSE,09 September 2016,PIRAMAL ENTERPR,BUY,15,1894.93,-28423.95
NSE,09 September 2016,ORIENT GREEN PO,SELL,-400,9.9,3960
NSE,09 September 2016,CANARA BANK,SELL,-6,312.23,1873.38
NSE,09 September 2016,CANARA BANK,SELL,-10,308.15,3081.5
